ts,Temperature,Humidity
1624880880,22.4,34.0
1624880820,22.4,34.1
1624880760,22.5,33.4
1624880700,22.9,35.3
1624880640,22.5,33.7
1624880580,22.9,35.2
1624880520,23.1,36.1
1624880460,22.8,36.8
1624880400,23.4,40.1
1624880340,23.3,39.2
1624880280,23.2,38.3
1624880220,22.4,33.9
1624880160,22.5,34.8
1624880100,22.6,34.5
1624880040,23.1,35.9
1624879980,23.0,34.5
1624879920,23.1,35.7
1624879860,23.0,34.6
1624879800,23.1,38.4
1624879740,23.1,35.2
1624879680,22.7,34.1
1624879620,23.3,38.6
1624879560,23.2,39.0
1624879500,23.1,38.4
1624879440,22.5,33.6
1624879380,22.5,35.0
1624879320,22.8,33.7
1624879260,22.7,33.0
1624879200,22.8,35.2
1624879140,22.9,36.7
1624879080,23.0,37.5
1624879020,22.5,32.9
1624878960,23.0,33.7
1624878900,22.7,32.9
1624878840,23.0,34.1
1624878780,22.7,33.9
1624878720,23.0,34.2
1624878660,23.1,33.6
1624878600,23.0,34.7
1624878540,23.4,33.6
1624878480,22.8,34.6
1624878420,23.3,38.6
1624878360,23.1,38.6
1624878300,22.9,38.3
1624878240,22.7,36.9
1624878180,22.0,34.8
1624878120,22.1,35.9
1624878060,21.9,36.2
1624878000,21.9,35.6
1624877940,21.9,36.6
1624877880,21.9,36.9
1624877820,21.8,36.4
1624877760,21.9,36.4
1624877700,22.0,35.8
1624877640,22.0,35.7
1624877580,22.1,36.4
1624877520,22.2,36.1
1624877460,23.0,40.7
1624877400,22.7,38.1
1624877340,22.1,35.8
1624877280,22.2,36.1
1624877220,22.3,37.2
1624877160,22.8,41.8
1624877100,22.5,42.8
1624877040,22.6,34.7
1624876980,22.5,33.1
1624876920,22.9,33.0
1624876860,23.1,32.9
1624876800,24.1,35.8
1624876740,24.2,39.1
1624876680,24.1,39.2
1624876620,24.1,40.1
1624876560,23.9,39.4
1624876500,23.6,39.6
1624876440,23.4,39.6
1624876380,23.5,39.4
1624876320,23.6,41.8
1624876260,23.3,39.1
1624876200,23.7,41.8
1624876140,23.1,39.0
1624876080,23.1,39.4
1624876020,22.3,35.0
1624875960,22.5,34.1
1624875900,22.2,34.6
1624875840,22.3,34.5
1624875780,22.6,34.7
1624875720,23.1,38.9
1624875660,22.9,35.3
1624875600,22.5,33.3
1624875540,22.9,34.4
1624875480,22.4,35.2
1624875420,22.4,34.5
1624875360,22.7,34.1
1624875300,22.7,34.0
1624875240,22.8,35.0
1624875180,23.2,36.3
1624875120,22.4,35.8
1624875060,23.4,40.3
1624875000,23.4,40.7
1624874940,23.4,40.7
1624874880,23.3,40.6
1624874820,23.2,40.6
1624874760,23.0,39.7
1624874700,23.0,40.3
1624874640,22.8,37.3
1624874580,22.3,34.5
1624874520,22.0,34.4
1624874460,22.5,35.3
1624874400,22.0,34.0
1624874340,22.0,34.8
1624874280,22.0,37.0
1624874220,21.9,36.1
1624874160,21.9,35.0
1624874100,22.3,34.7
1624874040,21.9,35.7
1624873980,22.3,38.5
1624873920,22.8,40.6
1624873860,22.5,38.9
1624873800,22.0,36.4
1624873740,22.4,40.7
1624873680,21.8,37.0
1624873620,21.9,36.8
1624873560,22.7,41.1
1624873500,22.6,39.0
1624873440,21.9,35.7
1624873380,22.1,35.9
1624873320,22.5,36.9
1624873260,22.5,36.8
1624873200,22.0,36.6
1624873140,22.1,37.4
1624873080,22.3,35.2
1624873020,22.4,37.8
1624872960,22.7,37.3
1624872900,22.8,42.2
1624872840,22.6,41.4
1624872780,22.5,40.2
1624872720,21.8,36.4
1624872660,21.9,35.5
1624872600,22.0,37.2
1624872540,22.2,36.8
1624872480,21.6,36.8
1624872420,21.6,36.9
1624872360,21.8,37.8
1624872300,21.9,37.3
1624872240,21.9,36.7
1624872180,21.9,36.4
1624872120,22.2,37.3
1624872060,22.5,37.6
1624872000,22.4,37.0
1624871940,22.2,37.0
1624871880,21.8,36.3
1624871820,21.8,35.7
1624871760,22.1,37.4
1624871700,22.2,35.6
1624871640,21.9,36.7
1624871580,22.1,36.7
1624871520,21.7,36.9
1624871460,21.9,36.9
1624871400,22.3,37.3
1624871340,22.2,36.9
1624871280,22.3,39.2
1624871220,21.7,36.9
1624871160,21.6,37.2
1624871100,21.8,36.8
1624871040,21.8,36.1
1624870980,21.9,36.3
1624870920,22.5,37.3
1624870860,22.5,40.6
1624870800,21.8,36.1
1624870740,21.7,36.6
1624870680,21.8,35.7
1624870620,21.9,36.8
1624870560,21.9,37.3
1624870500,21.9,35.9
1624870440,22.2,39.7
1624870380,21.8,38.7
1624870320,21.9,37.8
1624870260,21.4,35.7
1624870200,21.6,37.6
1624870140,21.7,35.3
1624870080,22.2,37.9
1624870020,22.1,37.4
1624869960,21.7,36.7
1624869900,22.1,40.1
1624869840,21.5,37.3
1624869780,21.6,37.3
1624869720,21.7,35.8
1624869660,21.6,36.8
1624869600,22.1,35.9
1624869540,21.8,35.7
1624869480,21.9,38.7
1624869420,21.9,36.6
1624869360,21.8,37.4
1624869300,21.6,36.1
1624869240,21.7,39.4
1624869180,21.5,39.2
1624869120,21.0,38.4
1624869060,21.0,37.6
1624869000,21.1,37.9
1624868940,21.0,37.5
1624868880,21.0,36.8
1624868820,21.0,36.2
1624868760,21.1,36.7
1624868700,21.1,37.4
1624868640,21.1,36.3
1624868580,21.1,36.9
1624868520,21.2,36.4
1624868460,21.3,35.8
1624868400,21.4,35.7
1624868340,22.1,36.3
1624868280,21.6,35.3
1624868220,21.9,37.3
1624868160,22.1,39.0
1624868100,21.9,37.9
1624868040,21.4,37.6
1624867980,21.3,35.5
1624867920,21.6,35.5
1624867860,22.1,39.1
1624867800,21.4,36.2
1624867740,21.6,35.8
1624867680,21.3,35.5
1624867620,21.5,35.6
1624867560,21.4,35.0
1624867500,22.3,36.1
1624867440,21.8,34.7
1624867380,21.4,35.9
1624867320,21.6,35.1
1624867260,22.4,36.7
1624867200,22.3,35.2
1624867140,21.7,35.1
1624867080,21.5,35.7
1624867020,21.7,35.3
1624866960,21.7,37.0
1624866900,21.4,37.4
1624866840,21.6,41.2
1624866780,22.5,46.3
1624866720,21.9,35.8
1624866660,21.4,34.1
1624866600,22.1,35.8
1624866540,21.9,36.8
1624866480,21.2,35.7
1624866420,21.2,35.9
1624866360,21.3,36.3
1624866300,21.4,35.5
1624866240,21.6,36.6
1624866180,21.6,35.2
1624866120,21.4,35.6
1624866060,21.3,35.9
1624866000,21.5,35.1
1624865940,21.9,35.1
1624865880,22.1,34.1
1624865820,21.3,34.6
1624865760,21.4,34.8
1624865700,22.0,35.3
1624865640,21.5,33.7
1624865580,22.1,34.4
1624865520,21.5,33.5
1624865460,22.1,34.2
1624865400,22.4,32.3
1624865340,22.1,34.6
1624865280,22.1,35.5
1624865220,22.1,33.7
1624865160,22.3,33.4
1624865100,22.4,33.6
1624865040,22.6,35.2
1624864980,22.5,35.0
1624864920,22.4,34.7
1624864860,22.2,35.5
1624864800,21.7,34.7
1624864740,21.5,34.6
1624864680,21.6,34.6
1624864620,22.1,34.6
1624864560,21.5,36.1
1624864500,21.6,35.1
1624864440,22.0,35.1
1624864380,22.1,36.6
1624864320,22.3,34.7
1624864260,22.4,37.2
1624864200,22.2,36.6
1624864140,22.0,37.5
1624864080,21.6,37.2
1624864020,21.3,36.8
1624863960,21.4,36.1
1624863900,21.9,36.1
1624863840,22.1,36.6
1624863780,21.6,36.4
1624863720,21.8,38.9
1624863660,21.8,35.6
1624863600,21.6,36.2
1624863540,21.5,37.2
1624863480,21.2,37.4
1624863420,21.3,37.0
1624863360,21.3,36.8
1624863300,21.4,36.7
1624863240,21.5,35.5
1624863180,21.7,34.4
1624863120,21.9,33.1
1624863060,22.4,32.5
1624863000,23.1,33.1
1624862940,23.2,33.1
1624862880,23.1,33.9
1624862820,23.0,33.3
1624862760,23.0,33.6
1624862700,23.0,34.0
1624862640,22.8,34.1
1624862580,22.6,34.6
1624862520,23.1,34.5
1624862460,22.8,33.4
1624862400,22.4,32.6
1624862340,23.4,35.2
1624862280,22.7,32.9
1624862220,22.9,33.7
1624862160,23.9,37.8
1624862100,23.5,40.6
1624862040,23.3,39.6
1624861980,23.5,40.7
1624861920,24.6,47.4
1624861860,24.6,47.9
1624861800,24.7,47.8
1624861740,24.7,48.5
1624861680,24.5,47.8
1624861620,24.7,48.4
1624861560,24.7,49.7
1624861500,24.7,50.6
1624861440,24.7,50.6
1624861380,24.7,50.3
1624861320,24.6,48.6
1624861260,24.6,48.5
1624861200,24.6,48.4
1624861140,24.4,45.7
1624861080,24.6,49.2
1624861020,24.5,47.4
1624860960,24.5,48.8
1624860900,24.5,46.6
1624860840,24.4,46.2
1624860780,24.5,48.0
1624860720,24.4,47.5
1624860660,24.3,46.7
1624860600,24.3,45.1
1624860540,24.2,34.0
1624860480,24.2,33.9
1624860420,24.2,33.6
1624860360,24.2,33.3
1624860300,24.2,33.4
1624860240,24.3,33.4
1624860180,24.3,33.5
1624860120,24.3,33.9
1624860060,24.2,33.9
1624860000,24.3,33.7
1624859940,24.2,33.6
1624859880,24.3,33.5
1624859820,24.3,34.0
1624859760,24.3,34.0
1624859700,24.3,34.2
1624859640,24.3,34.1
1624859580,24.3,34.5
1624859520,24.3,34.7
1624859460,24.3,34.5
1624859400,24.3,35.0
1624859340,24.3,34.7
1624859280,24.3,34.5
1624859220,24.3,34.6
1624859160,24.3,34.8
1624859100,24.3,34.4
1624859040,24.3,34.6
1624858980,24.4,35.0
1624858920,24.3,34.7
1624858860,24.3,34.4
1624858800,24.3,34.6
1624858740,24.3,34.6
1624858680,24.3,34.7
1624858620,24.3,34.6
1624858560,24.3,34.5
1624858500,24.4,34.8
1624858440,24.4,34.8
1624858380,24.4,34.8
1624858320,24.3,34.8
1624858260,24.4,34.6
1624858200,24.4,34.1
1624858140,24.3,33.9
1624858080,24.4,34.4
1624858020,24.3,34.5
1624857960,24.3,34.0
1624857900,24.4,34.1
1624857840,24.3,34.0
1624857780,24.3,34.2
1624857720,24.4,34.1
1624857660,24.3,34.0
1624857600,24.3,34.4
1624857540,24.4,34.7
1624857480,24.4,35.0
1624857420,24.4,34.4
1624857360,24.4,34.5
1624857300,24.4,34.7
1624857240,24.4,34.2
1624857180,24.4,34.2
1624857120,24.4,34.2
1624857060,24.4,34.4
1624857000,24.4,34.1
1624856940,24.3,33.9
1624856880,24.4,34.0
1624856820,24.4,34.0
1624856760,24.4,34.6
1624856700,24.4,34.1
1624856640,24.3,34.1
1624856580,24.4,34.0
1624856520,24.4,34.0
1624856460,24.4,34.4
1624856400,24.4,34.0
1624856340,24.4,33.9
1624856280,24.4,34.0
1624856220,24.4,34.0
1624856160,24.4,33.6
1624856100,24.4,34.2
1624856040,24.4,33.9
1624855980,24.4,34.2
1624855920,24.4,34.1
1624855860,24.4,33.7
1624855800,24.4,33.6
1624855740,24.4,33.3
1624855680,24.4,33.5
1624855620,24.4,33.6
1624855560,24.4,33.7
1624855500,24.4,33.7
1624855440,24.4,33.7
1624855380,24.4,33.4
1624855320,24.4,33.6
1624855260,24.4,34.2
1624855200,24.4,34.1
1624855140,24.4,33.6
1624855080,24.5,33.7
1624855020,24.5,34.1
1624854960,24.4,34.4
1624854900,24.4,34.4
1624854840,24.4,34.2
1624854780,24.5,34.0
1624854720,24.4,34.0
1624854660,24.4,34.0
1624854600,24.5,33.6
1624854540,24.5,33.5
1624854480,24.4,33.5
1624854420,24.4,33.6
1624854360,24.4,33.7
1624854300,24.4,33.7
1624854240,24.4,34.0
1624854180,24.4,33.6
1624854120,24.5,33.7
1624854060,24.5,33.9
1624854000,24.5,33.6
1624853940,24.5,33.9
1624853880,24.5,33.7
1624853820,24.5,34.1
1624853760,24.5,33.6
1624853700,24.5,33.4
1624853640,24.5,33.6
1624853580,24.5,33.6
1624853520,24.5,33.5
1624853460,24.5,33.5
1624853400,24.5,33.5
1624853340,24.4,33.4
1624853280,24.5,33.5
1624853220,24.5,34.0
1624853160,24.5,33.3
1624853100,24.5,33.4
1624853040,24.5,33.4
1624852980,24.5,33.7
1624852920,24.5,33.7
1624852860,24.5,33.5
1624852800,24.5,33.6
1624852740,24.5,33.3
1624852680,24.6,33.3
1624852620,24.5,33.5
1624852560,24.5,33.4
1624852500,24.5,33.3
1624852440,24.5,33.4
1624852380,24.5,33.6
1624852320,24.6,33.6
1624852260,24.5,33.7
1624852200,24.6,33.5
1624852140,24.5,33.4
1624852080,24.6,33.3
1624852020,24.5,33.4
1624851960,24.6,33.7
1624851900,24.6,33.7
1624851840,24.6,34.0
1624851780,24.6,33.5
1624851720,24.6,33.3
1624851660,24.6,33.3
1624851600,24.6,33.6
1624851540,24.6,34.0
1624851480,24.6,33.5
1624851420,24.6,33.5
1624851360,24.6,33.6
1624851300,24.6,33.4
1624851240,24.6,33.5
1624851180,24.6,33.4
1624851120,24.6,34.0
1624851060,24.6,33.4
1624851000,24.6,33.3
1624850940,24.6,33.6
1624850880,24.6,33.4
1624850820,24.6,33.5
1624850760,24.6,33.7
1624850700,24.6,33.5
1624850640,24.6,33.6
1624850580,24.6,33.4
1624850520,24.6,33.5
1624850460,24.6,33.1
1624850400,24.6,33.3
1624850340,24.6,33.5
1624850280,24.6,33.9
1624850220,24.6,33.5
1624850160,24.6,33.3
1624850100,24.6,33.3
1624850040,24.6,33.3
1624849980,24.7,33.5
1624849920,24.6,33.4
1624849860,24.7,33.7
1624849800,24.7,33.7
1624849740,24.7,33.7
1624849680,24.6,33.6
1624849620,24.6,33.9
1624849560,24.7,33.9
1624849500,24.7,33.7
1624849440,24.7,34.4
1624849380,24.6,34.6
1624849320,24.6,34.1
1624849260,24.7,34.1
1624849200,24.6,34.0
1624849140,24.7,34.1
1624849080,24.6,33.6
1624849020,24.6,33.9
1624848960,24.6,34.0
1624848900,24.7,33.9
1624848840,24.7,34.0
1624848780,24.7,34.1
1624848720,24.7,34.2
1624848660,24.7,34.0
1624848600,24.7,33.4
1624848540,24.7,33.7
1624848480,24.7,34.0
1624848420,24.6,34.5
1624848360,24.7,34.7
1624848300,24.7,34.0
1624848240,24.6,33.6
1624848180,24.7,33.7
1624848120,24.7,33.7
1624848060,24.7,34.0
1624848000,24.7,33.9
1624847940,24.7,34.2
1624847880,24.7,34.1
1624847820,24.7,34.7
1624847760,24.7,34.4
1624847700,24.7,34.2
1624847640,24.7,34.1
1624847580,24.7,34.4
1624847520,24.7,34.5
1624847460,24.7,34.4
1624847400,24.7,34.2
1624847340,24.7,34.2
1624847280,24.7,34.5
1624847220,24.7,34.2
1624847160,24.7,34.6
1624847100,24.7,34.2
1624847040,24.7,34.6
1624846980,24.7,34.8
1624846920,24.7,34.7
1624846860,24.7,34.7
1624846800,24.7,34.0
1624846740,24.7,34.1
1624846680,24.7,34.4
1624846620,24.7,35.0
1624846560,24.7,34.8
1624846500,24.7,34.6
1624846440,24.7,35.1
1624846380,24.7,34.8
1624846320,24.7,34.5
1624846260,24.7,34.1
1624846200,24.8,33.9
1624846140,24.7,34.5
1624846080,24.8,34.4
1624846020,24.7,34.5
1624845960,24.7,34.1
1624845900,24.8,34.2
1624845840,24.8,33.9
1624845780,24.8,33.9
1624845720,24.7,34.1
1624845660,24.8,33.6
1624845600,24.8,34.2
1624845540,24.8,34.1
1624845480,24.8,34.1
1624845420,24.8,34.2
1624845360,24.8,34.1
1624845300,24.8,34.2
1624845240,24.8,34.1
1624845180,24.8,33.9
1624845120,24.8,33.7
1624845060,24.8,34.2
1624845000,24.8,34.0
1624844940,24.8,33.9
1624844880,24.8,34.5
1624844820,24.8,33.7
1624844760,24.8,34.1
1624844700,24.8,34.0
1624844640,24.8,33.9
1624844580,24.8,34.0
1624844520,24.8,34.5
1624844460,24.8,34.1
1624844400,24.8,34.5
1624844340,24.8,34.4
1624844280,24.8,34.0
1624844220,24.8,34.4
1624844160,24.8,34.7
1624844100,24.8,34.7
1624844040,24.8,34.4
1624843980,24.8,34.4
1624843920,24.8,33.7
1624843860,24.8,34.0
1624843800,24.8,34.0
1624843740,24.8,34.4
1624843680,24.9,34.4
1624843620,24.8,34.6
1624843560,24.8,34.5
1624843500,24.8,34.2
1624843440,24.9,34.1
1624843380,24.8,34.5
1624843320,24.9,34.8
1624843260,24.8,35.0
1624843200,24.8,34.2
1624843140,24.8,34.1
1624843080,24.8,33.5
1624843020,24.8,33.6
1624842960,24.8,34.4
1624842900,24.8,34.6
1624842840,24.9,34.5
1624842780,24.8,33.9
1624842720,24.9,33.9
1624842660,24.9,34.0
1624842600,24.8,34.2
1624842540,24.9,34.1
1624842480,24.9,34.1
1624842420,24.8,33.9
1624842360,24.8,33.9
1624842300,24.8,34.0
1624842240,24.8,34.0
1624842180,24.8,34.4
1624842120,24.8,34.5
1624842060,24.8,34.2
1624842000,24.8,33.9
1624841940,24.8,34.0
1624841880,24.8,33.7
1624841820,24.9,34.2
1624841760,24.9,33.7
1624841700,24.8,33.5
1624841640,24.9,33.5
1624841580,24.9,34.0
1624841520,24.9,33.7
1624841460,24.9,33.9
1624841400,24.9,33.6
1624841340,24.9,33.7
1624841280,24.9,33.5
1624841220,24.9,33.5
1624841160,24.8,33.6
1624841100,24.9,33.9
1624841040,24.9,33.6
1624840980,24.9,33.3
1624840920,24.9,34.1
1624840860,24.9,33.1
1624840800,24.9,33.3
1624840740,24.9,33.4
1624840680,24.9,33.7
1624840620,24.9,33.5
1624840560,24.9,33.5
1624840500,24.9,33.4
1624840440,24.9,33.3
1624840380,24.9,33.1
1624840320,24.9,33.1
1624840260,24.9,33.0
1624840200,24.9,32.9
1624840140,24.9,33.4
1624840080,24.9,32.8
1624840020,24.9,32.5
1624839960,24.9,32.8
1624839900,24.9,32.6
1624839840,24.9,32.5
1624839780,24.9,33.0
1624839720,24.9,32.6
1624839660,24.9,32.9
1624839600,24.9,33.1
1624839540,24.9,32.8
1624839480,24.9,32.6
1624839420,24.9,32.5
1624839360,24.9,32.3
1624839300,24.9,32.8
1624839240,25.0,32.4
1624839180,25.0,32.9
1624839120,24.9,32.8
1624839060,25.0,32.5
1624839000,24.9,32.6
1624838940,24.9,33.0
1624838880,25.0,33.0
1624838820,24.9,32.9
1624838760,24.9,32.5
1624838700,24.9,32.6
1624838640,24.9,32.5
1624838580,24.9,32.8
1624838520,25.0,32.4
1624838460,25.0,32.9
1624838400,25.0,33.3
1624838340,25.0,33.4
1624838280,25.0,32.9
1624838220,25.0,32.8
1624838160,25.0,33.0
1624838100,25.0,33.1
1624838040,25.0,32.6
1624837980,25.0,33.1
1624837920,25.0,33.0
1624837860,25.0,32.6
1624837800,25.0,32.6
1624837740,25.0,32.0
1624837680,25.0,32.2
1624837620,25.0,31.8
1624837560,25.0,32.0
1624837500,25.0,32.4
1624837440,25.0,32.4
1624837380,25.0,32.4
1624837320,25.0,32.5
1624837260,25.0,32.4
1624837200,25.0,32.5
1624837140,25.0,31.8
1624837080,25.0,31.8
1624837020,25.0,32.0
1624836960,25.0,32.0
1624836900,25.0,32.3
1624836840,25.0,32.2
1624836780,25.0,32.3
1624836720,25.0,32.2
1624836660,25.0,32.4
1624836600,25.0,31.9
1624836540,25.0,31.7
1624836480,25.0,31.5
1624836420,25.0,32.0
1624836360,25.0,31.9
1624836300,25.0,32.0
1624836240,25.0,31.9
1624836180,25.0,32.2
1624836120,25.0,31.9
1624836060,25.0,32.0
1624836000,25.0,32.5
1624835940,25.0,32.3
1624835880,25.0,32.2
1624835820,25.0,31.9
1624835760,25.0,31.7
1624835700,25.0,31.7
1624835640,25.0,31.9
1624835580,25.0,32.0
1624835520,25.0,31.9
1624835460,25.0,32.4
1624835400,25.0,32.5
1624835340,25.0,32.9
1624835280,25.0,32.2
1624835220,25.0,32.4
1624835160,25.0,31.7
1624835100,25.0,31.5
1624835040,25.0,31.9
1624834980,25.0,32.4
1624834920,25.0,31.9
1624834860,25.0,31.9
1624834800,25.0,32.3
1624834740,25.0,32.2
1624834680,25.0,32.0
1624834620,25.0,31.9
1624834560,25.0,32.4
1624834500,25.0,32.4
1624834440,25.0,32.6
1624834380,25.0,32.0
1624834320,25.0,31.9
1624834260,25.0,32.2
1624834200,25.0,32.3
1624834140,25.0,32.0
1624834080,25.0,31.9
1624834020,25.0,31.9
1624833960,25.0,31.9
1624833900,25.0,32.0
1624833840,25.0,32.3
1624833780,25.0,32.2
1624833720,25.0,32.3
1624833660,25.0,32.4
1624833600,25.0,32.5
1624833540,25.0,31.8
1624833480,25.0,31.7
1624833420,25.0,31.9
1624833360,25.0,31.5
1624833300,25.0,31.9
1624833240,25.0,32.2
1624833180,25.0,32.0
1624833120,25.0,32.2
1624833060,25.0,32.5
1624833000,25.0,32.3
1624832940,25.0,32.5
1624832880,25.0,32.4
1624832820,25.0,32.4
1624832760,25.0,32.2
1624832700,25.0,32.3
1624832640,25.0,32.3
1624832580,25.0,32.5
1624832520,25.0,32.3
1624832460,25.0,32.3
1624832400,25.0,32.5
1624832340,25.0,32.3
1624832280,25.0,32.3
1624832220,25.0,32.4
1624832160,25.0,32.5
1624832100,25.0,32.2
1624832040,25.0,32.2
1624831980,25.0,32.3
1624831920,25.0,32.4
1624831860,25.0,32.0
1624831800,25.0,32.0
1624831740,25.0,31.9
1624831680,25.0,32.2
1624831620,25.0,32.2
1624831560,25.0,31.9
1624831500,25.0,31.9
1624831440,25.0,32.0
1624831380,25.0,32.2
1624831320,25.0,31.8
1624831260,25.0,32.2
1624831200,25.0,32.0
1624831140,25.0,31.7
1624831080,25.0,31.8
1624831020,25.0,31.9
1624830960,25.0,32.3
1624830900,25.0,31.5
1624830840,25.0,31.3
1624830780,25.0,31.3
1624830720,25.0,31.7
1624830660,25.0,32.2
1624830600,25.0,31.7
1624830540,25.0,31.5
1624830480,25.0,31.4
1624830420,25.0,31.5
1624830360,25.0,31.5
1624830300,25.0,31.5
1624830240,25.0,31.5
1624830180,25.1,32.0
1624830120,25.0,31.8
1624830060,25.0,31.7
1624830000,25.0,31.3
1624829940,25.1,31.4
1624829880,25.0,31.5
1624829820,25.1,31.4
1624829760,25.1,31.3
1624829700,25.1,31.5
1624829640,25.0,31.4
1624829580,25.0,31.7
1624829520,25.0,31.7
1624829460,25.0,31.5
1624829400,25.0,31.1
1624829340,25.0,31.1
1624829280,25.1,30.8
1624829220,25.1,30.6
1624829160,25.0,30.7
1624829100,25.1,30.8
1624829040,25.0,30.3
1624828980,25.0,30.2
1624828920,25.1,30.2
1624828860,25.0,30.2
1624828800,25.1,30.0
1624828740,25.0,29.8
1624828680,25.0,29.6
1624828620,25.0,29.7
1624828560,25.1,29.7
1624828500,25.1,30.0
1624828440,25.0,29.7
1624828380,25.0,29.6
1624828320,25.1,29.8
1624828260,25.1,29.5
1624828200,25.1,29.6
1624828140,25.0,29.6
1624828080,25.1,30.1
1624828020,25.1,30.1
1624827960,25.1,30.2
1624827900,25.1,30.1
1624827840,25.1,30.2
1624827780,25.1,30.7
1624827720,25.1,30.3
1624827660,25.1,30.5
1624827600,25.1,30.5
1624827540,25.1,30.6
1624827480,25.1,30.5
1624827420,25.1,30.2
1624827360,25.1,30.2
1624827300,25.0,30.5
1624827240,25.1,30.6
1624827180,25.1,30.6
1624827120,25.1,30.5
1624827060,25.1,30.9
1624827000,25.1,30.7
1624826940,25.1,30.6
1624826880,25.1,30.8
1624826820,25.1,30.9
1624826760,25.1,30.9
1624826700,25.2,31.2
1624826640,25.1,30.8
1624826580,25.1,30.8
1624826520,25.1,30.5
1624826460,25.1,30.7
1624826400,25.1,30.7
1624826340,25.1,31.3
1624826280,25.1,31.1
1624826220,25.1,30.9
1624826160,25.1,30.9
1624826100,25.1,31.1
1624826040,25.1,30.9
1624825980,25.1,31.1
1624825920,25.1,31.3
1624825860,25.1,31.1
1624825800,25.1,31.4
1624825740,25.1,31.7
1624825680,25.1,32.0
1624825620,25.1,31.5
1624825560,25.2,31.8
1624825500,25.1,31.3
1624825440,25.1,31.7
1624825380,25.2,31.5
1624825320,25.2,31.7
1624825260,25.1,31.3
1624825200,25.1,30.9
1624825140,25.1,31.2
1624825080,25.1,30.7
1624825020,25.1,30.9
1624824960,25.1,31.1
1624824900,25.2,31.5
1624824840,25.2,31.7
1624824780,25.2,31.5
1624824720,25.2,31.2
1624824660,25.2,31.4
1624824600,25.1,31.1
1624824540,25.2,31.4
1624824480,25.2,31.4
1624824420,25.2,31.3
1624824360,25.2,31.1
1624824300,25.2,30.9
1624824240,25.2,31.3
1624824180,25.2,31.3
1624824120,25.2,31.2
1624824060,25.2,31.1
1624824000,25.2,31.1
1624823940,25.1,30.7
1624823880,25.2,31.2
1624823820,25.2,31.1
1624823760,25.2,30.7
1624823700,25.2,30.9
1624823640,25.2,30.9
1624823580,25.2,30.8
1624823520,25.2,30.7
1624823460,25.2,30.3
1624823400,25.2,30.1
1624823340,25.2,30.1
1624823280,25.2,30.1
1624823220,25.2,30.1
1624823160,25.2,29.8
1624823100,25.2,30.0
1624823040,25.2,29.7
1624822980,25.1,30.0
1624822920,25.2,29.4
1624822860,25.2,29.1
1624822800,25.1,29.0
1624822740,25.2,29.0
1624822680,25.2,28.7
1624822620,25.2,28.9
